kind,severity,mean_pred_entropy
gaussian_noise,1,0.7115832567214966
gaussian_noise,2,0.904954195022583
gaussian_noise,3,0.822343111038208
gaussian_noise,4,0.6100902557373047
gaussian_noise,5,0.409368097782135
gaussian_blur,1,0.35969817638397217
gaussian_blur,2,0.509279727935791
gaussian_blur,3,0.8097214102745056
gaussian_blur,4,1.073253870010376
gaussian_blur,5,1.2268785238265991
contrast,1,0.3759041726589203
contrast,2,0.48679065704345703
contrast,3,0.6060117483139038
contrast,4,0.8548755049705505
contrast,5,1.5572631359100342
