model,n,KL_mean,KL_std,JSD_mean,JSD_std,cos_mean,cos_std,pearson_H,spearman_H,P@100,P@200,P@500
kl,2000,0.2673315405845642,0.6012474894523621,0.0532766617834568,0.11089131981134415,0.933910071849823,0.18909728527069092,0.401988685131073,0.4337797330115808,0.16,0.31,0.516
jsd,2000,0.45863014459609985,1.0554357767105103,0.05587976053357124,0.1304442137479782,0.9269840717315674,0.21794438362121582,0.28464388847351074,0.36459162041537396,0.13,0.27,0.464
composite,2000,0.3195997178554535,0.7324990630149841,0.05962076410651207,0.12345828115940094,0.9220571517944336,0.2128804624080658,0.3792800307273865,0.422504852005611,0.18,0.275,0.496
